names,links
Sundae Everyday Ice Creams,https://www.zomato.com/manipal/sundae-everyday-ice-creams-kunjibettu-udupi/order
Hotel Sri Durga Bhavana,https://www.zomato.com/manipal/hotel-sri-durga-bhavana-brahmagiri-udupi/order
Kediyoor Confectionery,https://www.zomato.com/manipal/kediyoor-confectionery-kidiyoor-udupi/order
Hotel Parota Point,https://www.zomato.com/manipal/hotel-parota-point-eshwar-nagar/order
Le Shaay,https://www.zomato.com/manipal/le-shaay-vidyaratna-nagar/order
Chef Food Court,https://www.zomato.com/manipal/chef-food-court-saralebettu/order
Summer Park Deluxe A/C &amp; Non A/C Family Restaurant,https://www.zomato.com/manipal/summer-park-deluxe-a-c-non-a-c-family-restaurant-maruthi-veethika/order
Barista,https://www.zomato.com/manipal/barista-eshwar-nagar/order
Juice Junction,https://www.zomato.com/manipal/juice-junction-tiger-circle/order
Naaniz,https://www.zomato.com/manipal/naaniz-vidyaratna-nagar/order
Wokaholic,https://www.zomato.com/manipal/wokaholic-vidyaratna-nagar/order
Hangyo Ice Cream,https://www.zomato.com/manipal/hangyo-ice-cream-1-eshwar-nagar/order
Barbeque Nation,https://www.zomato.com/manipal/barbeque-nation-vidyaratna-nagar/order
LA Rochelle,https://www.zomato.com/manipal/la-rochelle-vidyaratna-nagar/order
Scoops N Smiles,https://www.zomato.com/manipal/scoops-n-smiles-kidiyoor-udupi/order
The Dessert Zone,https://www.zomato.com/manipal/the-dessert-zone-kunjibettu-udupi/order
Vaibhav,https://www.zomato.com/manipal/vaibhav-eshwar-nagar/order
Mumbai Carters Blue Family Restaurant,https://www.zomato.com/manipal/mumbai-carters-blue-family-restaurant-kunjibettu-udupi/order
Hotel Swastik,https://www.zomato.com/manipal/hotel-swastik-shivalli/order
Fresh Juice World,https://www.zomato.com/manipal/fresh-juice-world-eshwar-nagar/order
Kouzina Kafe - The Food Court,https://www.zomato.com/manipal/kouzina-kafe-the-food-court-kunjibettu-udupi/order
Saiba,https://www.zomato.com/manipal/saiba-1-eshwar-nagar/order
Inox,https://www.zomato.com/manipal/inox-dasharath-nagar/order
Saim Select,https://www.zomato.com/manipal/saim-select-eshwar-nagar/order
Yo Dragon,https://www.zomato.com/manipal/yo-dragon-eshwar-nagar/order
Dusk Till Dawn,https://www.zomato.com/manipal/dusk-till-dawn-2-eshwar-nagar/order
Slurpy Shakes,https://www.zomato.com/manipal/slurpy-shakes-kunjibettu-udupi/order
Asian  K Flavour,https://www.zomato.com/manipal/asian-k-flavour-eshwar-nagar/order
Shake Shack,https://www.zomato.com/manipal/shake-shack-kinnimulki-udupi/order
Big Boss,https://www.zomato.com/manipal/big-boss-eshwar-nagar/order
The Book Cafe,https://www.zomato.com/manipal/the-book-cafe-kunjibettu-udupi/order
Five Star Chicken,https://www.zomato.com/manipal/five-star-chicken-eshwar-nagar/order
Ainn Sweet &amp; Condiments,https://www.zomato.com/manipal/ainn-sweet-condiments-kidiyoor/order
Zafran Foods,https://www.zomato.com/manipal/zafran-foods-eshwar-nagar/order
Red Kitchen Express,https://www.zomato.com/manipal/red-kitchen-express-eshwar-nagar/order
Shack Point By Snack Shack,https://www.zomato.com/manipal/shack-point-by-snack-shack-eshwar-nagar/order
Hotel Shubham,https://www.zomato.com/manipal/hotel-shubham-eshwar-nagar/order
Tiwari Chat,https://www.zomato.com/manipal/tiwari-chat-eshwar-nagar/order
Hangyo CTF,https://www.zomato.com/manipal/hangyo-ctf-eshwar-nagar/order
Makazai,https://www.zomato.com/manipal/makazai-vidyaratna-nagar/order
Hotel Thaamboolam,https://www.zomato.com/manipal/hotel-thaamboolam-kinnimulki/order
Mexican Burrito,https://www.zomato.com/manipal/mexican-burrito-vidyaratna-nagar/order
Kediyoor Gazebo,https://www.zomato.com/manipal/kediyoor-gazebo-kidiyoor-udupi/order
Dolphin Lunch Home,https://www.zomato.com/manipal/dolphin-lunch-home-maruthi-veethika/order
Machali Restaurant,https://www.zomato.com/manipal/machali-restaurant-brahmagiri-udupi/order
Sammana Hotel,https://www.zomato.com/manipal/sammana-hotel-kunjibettu-udupi/order
Dawath Restaurant,https://www.zomato.com/manipal/dawath-restaurant-kidiyoor/order
The Tawa Punjab,https://www.zomato.com/manipal/the-tawa-punjab-vidyaratna-nagar/order
The Laughing Buddha,https://www.zomato.com/manipal/the-laughing-buddha-vidyaratna-nagar/order
Ruchitha Restaurant,https://www.zomato.com/manipal/ruchitha-restaurant-1-eshwar-nagar/order
Hotel Central Park,https://www.zomato.com/manipal/hotel-central-park-dasharath-nagar/order
Madhuvan Mandara Multi Cuisine Family Restaurant,https://www.zomato.com/manipal/madhuvan-mandara-multi-cuisine-family-restaurant-eshwar-nagar/order
Fullfills,https://www.zomato.com/manipal/fullfills-shivalli/order
Malika  -  White Lotus  Hotel,https://www.zomato.com/manipal/malika-white-lotus-hotel-maruthi-veethika/order
The Mill,https://www.zomato.com/manipal/the-mill-eshwar-nagar/order
Dishes Family Restaurant,https://www.zomato.com/manipal/dishes-family-restaurant-vidyaratna-nagar/order
Dolphin Lunch Home,https://www.zomato.com/manipal/dolphin-lunch-home-eshwar-nagar/order
Spicy Kitchen,https://www.zomato.com/manipal/spicy-kitchen-saralebettu/order
Shivanna's Military Hotel,https://www.zomato.com/manipal/shivannas-military-hotel-brahmagiri-udupi/order
Shivanna's Military Hotel,https://www.zomato.com/manipal/shivannas-military-hotel-vidyaratna-nagar/order
Masala Kraft Kitchen,https://www.zomato.com/manipal/masala-kraft-kitchen-eshwar-nagar/order
Fish Factory,https://www.zomato.com/manipal/fish-factory-brahmagiri/order
Ghar Ki Rasoi,https://www.zomato.com/manipal/ghar-ki-rasoi-tiger-circle/order
Indie Biryani &amp; Kebabs,https://www.zomato.com/manipal/indie-biryani-kebabs-eshwar-nagar/order
