Bacchus Inn,https://www.zomato.com/manipal/barista-eshwar-nagar
Bacchus Inn,https://www.zomato.com/manipal/barbeque-nation-vidyaratna-nagar
Bacchus Inn,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
Bacchus Inn,https://www.zomato.com/manipal/pizza-hut-1-vidyaratna-nagar
Bacchus Inn,https://www.zomato.com/manipal/country-inn-mosaic-vidyaratna-nagar
Zebra Spot Restaurant,https://www.zomato.com/manipal/dishes-family-restaurant-vidyaratna-nagar
Zebra Spot Restaurant,https://www.zomato.com/manipal/kathi-junction-tiger-circle
Natural Ice Cream,https://www.zomato.com/manipal/kediyoors-pizza-kidiyoor-udupi
Natural Ice Cream,https://www.zomato.com/manipal/kwality-walls-frozen-dessert-and-ice-cream-shop-1-kunjibettu-udupi
Red Kitchen,https://www.zomato.com/manipal/kathi-junction-tiger-circle
Red Kitchen,https://www.zomato.com/manipal/hot-n-spicy-vidyaratna-nagar
Anupam Restaurant,https://www.zomato.com/manipal/northy-mess-1-eshwar-nagar
A Cafe Story,https://www.zomato.com/manipal/cloud-nine-vidyaratna-nagar
WarmOven Cake,https://www.zomato.com/manipal/baskin-robbins-vidyaratna-nagar
WarmOven Cake,https://www.zomato.com/manipal/polar-bear-1-vidyaratna-nagar
WarmOven Cake,https://www.zomato.com/manipal/kwality-walls-frozen-dessert-and-ice-cream-shop-1-kunjibettu-udupi
Kathi Junction,https://www.zomato.com/manipal/chef-food-court-saralebettu
Indiana Burgers,https://www.zomato.com/manipal/subway-eshwar-nagar
Indiana Burgers,https://www.zomato.com/manipal/the-belgian-waffle-co-tiger-circle
Country Inn - Mosaic,https://www.zomato.com/manipal/fullfills-shivalli
Burger It Up,https://www.zomato.com/manipal/barista-eshwar-nagar
Burger It Up,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
Burger It Up,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar
Burger It Up,https://www.zomato.com/manipal/kouzina-kafe-the-food-court-kunjibettu-udupi
Udupi Sweet House,https://www.zomato.com/manipal/barista-eshwar-nagar
Udupi Sweet House,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
Udupi Sweet House,https://www.zomato.com/manipal/madhuvan-veg-eshwar-nagar
Udupi Sweet House,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar
UBQ By Barbeque Nation,https://www.zomato.com/manipal/kathi-junction-tiger-circle
UBQ By Barbeque Nation,https://www.zomato.com/manipal/spice-n-ice-vidyaratna-nagar
Odeya Restaurant,https://www.zomato.com/manipal/bamboo-chef-restaurant-kinnimulki-udupi
Vito's Pizzeria,https://www.zomato.com/manipal/la-rochelle-vidyaratna-nagar
Kediyoor's Pizza,https://www.zomato.com/manipal/mcdonalds-eshwar-nagar
Kediyoor's Pizza,https://www.zomato.com/manipal/baskin-robbins-vidyaratna-nagar
Kediyoor's Pizza,https://www.zomato.com/manipal/scoop-n-bake-doddanagudde-udupi
Kediyoor's Pizza,https://www.zomato.com/manipal/shivanna-donne-biryani-brahmagiri-udupi
Kediyoor's Pizza,https://www.zomato.com/manipal/kwality-walls-frozen-dessert-and-ice-cream-shop-1-kunjibettu-udupi
Kaati Zone Rolls And Wraps,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
Kaati Zone Rolls And Wraps,https://www.zomato.com/manipal/manna-rolls-vidyaratna-nagar
Kaati Zone Rolls And Wraps,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar
Cupcake Bliss Cakes,https://www.zomato.com/manipal/the-belgian-waffle-co-tiger-circle
Cupcake Bliss Cakes,https://www.zomato.com/manipal/dolce-desserts-tiger-circle
Cupcake Bliss Cakes,https://www.zomato.com/manipal/7th-heaven-a-slice-of-happiness-maruthi-veethika-udupi
Cupcake Bliss Cakes,https://www.zomato.com/manipal/dominos-pizza-kunjibettu-udupi
Arabian Knights,https://www.zomato.com/manipal/ruchitha-restaurant-1-eshwar-nagar
Spice 'n' Ice,https://www.zomato.com/manipal/kathi-junction-tiger-circle
Spice 'n' Ice,https://www.zomato.com/manipal/ubq-by-barbeque-nation-vidyaratna-nagar
Hakuna Matata,https://www.zomato.com/manipal/country-inn-mosaic-vidyaratna-nagar
Hakuna Matata,https://www.zomato.com/manipal/the-laughing-buddha-vidyaratna-nagar
Frozen Bottle,https://www.zomato.com/manipal/baskin-robbins-vidyaratna-nagar
Frozen Bottle,https://www.zomato.com/manipal/barcode-restro-tiger-circle
Frozen Bottle,https://www.zomato.com/manipal/shivanna-donne-biryani-brahmagiri-udupi
Frozen Bottle,https://www.zomato.com/manipal/kwality-walls-frozen-dessert-and-ice-cream-shop-1-kunjibettu-udupi
Kwality Wall's Frozen Dessert And Ice Cream Shop,https://www.zomato.com/manipal/frozen-bottle-eshwar-nagar
Kwality Wall's Frozen Dessert And Ice Cream Shop,https://www.zomato.com/manipal/baskin-robbins-vidyaratna-nagar
Hashtag,https://www.zomato.com/manipal/hotel-parota-point-eshwar-nagar
Hashtag,https://www.zomato.com/manipal/kathi-junction-tiger-circle
Dolce Desserts,https://www.zomato.com/manipal/the-belgian-waffle-co-tiger-circle
Dolce Desserts,https://www.zomato.com/manipal/dominos-pizza-kunjibettu-udupi
Dolce Desserts,https://www.zomato.com/manipal/hangyo-ice-cream-1-eshwar-nagar
New Shanthi Sagar,https://www.zomato.com/manipal/barista-eshwar-nagar
New Shanthi Sagar,https://www.zomato.com/manipal/kediyoor-confectionery-kidiyoor-udupi
Hotel Swadisht,https://www.zomato.com/manipal/hangyo-ctf-eshwar-nagar
Hotel Swadisht,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
Hotel Swadisht,https://www.zomato.com/manipal/pizza-hut-1-vidyaratna-nagar
Hotel Kediyoor Gokula Krishna,https://www.zomato.com/manipal/country-inn-mosaic-vidyaratna-nagar
