restro_id,names,links,Google-Maps Links,Latitude,Longitude
12,Cafe Boda Sheera,https://www.zomato.com/manipal/cafe-boda-sheera-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3530426000,74.7902280000",13.3530426,74.790228
13,G2 Ginger Garlic,https://www.zomato.com/manipal/g2-ginger-garlic-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3553874499,74.7982534491",13.3553874499,74.7982534491
14,Hot 'n' Spicy,https://www.zomato.com/manipal/hot-n-spicy-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3548947973,74.7845916823",13.3548947973,74.7845916823
15,Manna Rolls,https://www.zomato.com/manipal/manna-rolls-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3524681000,74.7838122000",13.3524681,74.7838122
16,Pai Tiffins,https://www.zomato.com/manipal/pai-tiffins-5-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3528870000,74.7895280000",13.352887,74.789528
17,KFC,https://www.zomato.com/manipal/kfc-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3486102877,74.7819818929",13.3486102877,74.7819818929
18,Food Chemist,https://www.zomato.com/manipal/food-chemist-1-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3488540000,74.7815370000",13.348854,74.781537
19,Shawarma Broast,https://www.zomato.com/manipal/shawarma-broast-maruthi-veethika-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3457833000,74.7557190000",13.3457833,74.755719
20,Snack Shack,https://www.zomato.com/manipal/snack-shack-tiger-circle/order,"https://www.google.com/maps/dir/?api=1&destination=13.3521513590,74.7874549404",13.352151359,74.7874549404
21,Manipal Express,https://www.zomato.com/manipal/manipal-express-1-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3518800000,74.7870570000",13.35188,74.787057
22,Pizza Hut,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3529410000,74.7901140000",13.352941,74.790114
23,Polar Bear,https://www.zomato.com/manipal/polar-bear-1-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3530970000,74.7838970000",13.353097,74.783897
24,New Tiwari Chat,https://www.zomato.com/manipal/new-tiwari-chat-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3494551910,74.7918631509",13.349455191,74.7918631509
25,Crave Desserts &amp; Bakes,https://www.zomato.com/manipal/crave-desserts-bakes-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3583810000,74.7845030000",13.358381,74.784503
26,UTSAAV - Om Sweets and Savouries,https://www.zomato.com/manipal/utsaav-om-sweets-and-savouries-maruthi-veethika-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3465110000,74.7610370000",13.346511,74.761037
27,Friendly Fried Chicken,https://www.zomato.com/manipal/friendly-fried-chicken-kunjibettu-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3457833000,74.7557190000",13.3457833,74.755719
28,Teapot Cafe,https://www.zomato.com/manipal/teapot-cafe-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3482190000,74.7828430000",13.348219,74.782843
29,The Belgian Waffle Co.,https://www.zomato.com/manipal/the-belgian-waffle-co-tiger-circle/order,"https://www.google.com/maps/dir/?api=1&destination=13.3525460000,74.7890180000",13.352546,74.789018
